adp_rank,name,adp_avg
361,Tyler Huntley,355.5
362,Justin Tucker,212.0
363,Justin Fields,356.0
364,Lil'Jordan Humphrey,360.5
365,Younghoe Koo,222.0
366,Kalif Raymond,366.5
367,Philip Rivers,234.0
368,Evan Engram,234.0
369,New York Jets DST,368.0
370,Elijah Arroyo,369.5
371,Hunter Luepke,370.0
372,Zach Wilson,370.5
373,Ja'Tavion Sanders,371.0
374,AJ Dillon,371.0
375,Noah Gray,371.5
376,Tay Martin,371.5
377,Trevor Etienne,372.5
378,Nick Folk,372.5
379,Brock Wright,247.0
380,Will Howard,374.0
381,DeWayne McBride,249.0
382,Luke Schoonmaker,251.0
383,Jermar Jefferson,252.0
384,Trey Lance,376.0
385,Tutu Atwell,376.5
386,LaJohntay Wester,377.0
387,Emari Demercado,255.0
388,Kareem Hunt,377.5
389,Marlin Klein,377.5
390,Mike Gesicki,257.0
391,Tejhaun Palmer,259.0
392,Chris Tyree,260.0
393,Gardner Minshew II,380.0
394,Mac Jones,380.5
395,Sam Roush,381.0
396,CJ Daniels,382.5
397,Nate Noel,266.0
398,Josh Oliver,383.0
399,Jazz Ferguson,268.0
400,Ulysses Bentley IV,268.0
401,AJ Henning,269.0
402,Jordan Whittington,384.5
403,Eli Raridon,385.0
404,Elijah Higgins,387.0
405,Raylen Sharpe,274.0
406,Jamal Agnew,275.0
407,Braxton Berrios,275.0
408,Jacardia Wright,387.5
409,David White Jr.,276.0
410,Deshaun Watson,277.0
411,Brandon McManus,278.0
412,Matt Prater,279.0
413,Peter LeBlanc,279.0
414,Drake Dabney,280.0
415,Emmanuel Henderson Jr.,281.0
416,Marcus Major Jr.,284.0
417,Anthony Miller,285.0
418,Jackson Meeks,392.5
419,Kyle Juszczyk,286.0
420,Mason Rudolph,393.0
421,Skyy Moore,393.0
422,Jonnu Smith,287.0
423,KeAndre Lambert-Smith,290.0
424,Quali Conley,290.0
425,Demarcus Robinson,395.0
426,Quinn Ewers,395.0
427,Albert Wilson,291.0
428,Malachi Corley,395.5
429,Chris Warren III,292.0
430,Jahdae Walker,292.0
431,Ollie Gordon II,293.0
432,Jarrett Stidham,396.5
433,Elijah Moore,397.0
434,Darren Waller,296.0
435,Andy Dalton,398.5
436,Dalvin Cook,298.0
437,Andrei Iosivas,298.0
438,Ezekiel Elliott,300.0
439,Tyquan Thornton,301.0
440,Caden Davis,301.0
441,Lewis Bond,302.0
442,Mo Alie-Cox,401.0
443,Anthony Smith,303.0
444,Konata Mumpfield,402.0
445,Bam Knight,305.0
446,Tommy Tremble,402.5
447,Jarquez Hunter,306.0
448,LeQuint Allen Jr.,306.0
449,Carson Beck,307.0
450,Sam Howell,307.0
451,RJ Maryland,309.0
452,Tony Jones,310.0
453,Adam Trautman,310.0
454,Nate Adkins,405.5
455,Roman Wilson,312.0
456,Anthony Richardson Sr.,406.0
457,Frank Gore Jr.,406.0
458,Jackson Hawes,314.0
459,DJ Giddens,316.0
460,Brevyn Spann-Ford,318.0
461,Nate Boerkircher,409.0
462,Carson Wentz,409.5
464,Kenny Pickett,320.0
465,Joshua Dobbs,321.0
466,Xavier Legette,322.0
467,Sione Vaki,323.0
468,Michael Mayer,325.0
469,Josh Cameron,413.0
470,Daniel Carlson,327.0
471,D.J. Montgomery,327.0
472,Jelani Woods,327.0
473,Durham Smythe,414.0
474,Stetson Bennett IV,329.0
475,Jalen Sample,329.0
476,Jake Bobo,330.0
477,Jalen Jackson,330.0
478,Eli Heidenreich,330.0
479,D'Vonte Price,331.0
480,John Jiles,331.0
481,C.J. Ham,332.0
482,Coleman Owen,332.0
483,Mitchell Trubisky,416.0
484,Equanimeous St. Brown,333.0
485,JuJu Smith-Schuster,334.0
486,Noah Fant,417.0
487,Amari Cooper,335.0
488,Devin Duvernay,335.0
489,Anthony Grant,335.0
490,DeAndre Hopkins,336.0
491,Malcolm Brown,336.0
492,Dustin Hopkins,338.0
493,Jaden Shirden,338.0
494,Dimitri Stanley,339.0
495,Max Klare,419.5
496,Dyami Brown,419.5
497,Israel Abanikanda,340.0
498,Tanner Gentry,341.0
499,Max Brosmer,341.0
500,Ramel Keyton,342.0
501,Kedon Slovis,343.0
502,Montrell Washington,343.0
503,Tulu Griffin,343.0
504,Tez Johnson,421.5
505,D.J. Foster,344.0
506,Brennan Presley,344.0
507,Jahan Dotson,345.0
508,Amar Johnson,345.0
509,Phil Mafah,346.0
510,B.T. Potter,347.0
511,Jarveon Howard,347.0
512,Michael Walker,348.0
513,Chris Hilton Jr.,348.0
514,Drew Sample,350.0
515,Lincoln Sefcik,350.0
516,Kenjon Barner,351.0
517,Ademola Faleye,353.0
518,Jalen Royals,427.0
519,Mitchell Evans,355.0
520,Darius Slayton,356.0
521,Dylan Drummond,356.0
522,Austin Hooper,428.0
523,Bryce Lance,428.0
524,Ty Johnson,357.0
525,Xavier Smith,428.5
526,Cade Stover,359.0
527,Trey Knox,360.0
528,Josh Adams,361.0
529,Diego Pavia,361.0
530,Omar Bayless,362.0
531,Ameer Abdullah,363.0
532,Marquez Stevenson,363.0
533,Max Bredeson,431.5
534,Jimmy Horn Jr.,364.0
535,Zane Gonzalez,433.0
536,Bo Melton,369.0
537,Dallin Holker,370.0
538,Blake Whiteheart,370.0
539,Michael Burton,373.0
540,Sage Surratt,373.0
541,Justin Sumpter,374.0
542,Josh Whyle,374.0
543,Tyler Conklin,378.0
544,Matt Seybert,378.0
545,Chamon Metayer,379.0
546,Josh Williams,439.5
547,Jeremy Cox,380.0
548,Tyree Mayfield,381.0
549,Drew Ogletree,381.0
550,Luke Musgrave,440.5
551,Raheim Sanders,440.5
552,Lawrence Cager,382.0
553,Erick All Jr.,382.0
554,Jalen Hurd,384.0
555,Darius Cooper,384.0
556,Johnny Mundt,385.0
557,Reggie White Jr.,385.0
558,Charlie Taumoepeau,386.0
559,Reggie Gilliam,386.0
560,Patrick Ricard,387.0
561,Dillon Gabriel,387.0
562,Terrell Jennings,387.0
563,MyCole Pruitt,388.0
564,Chris Manhertz,388.0
565,Cade Klubnik,444.0
566,Ben Skowronek,389.0
567,Justin Joly,444.5
568,Matt Colburn II,390.0
569,DeMario Douglas,390.0
570,British Brooks,390.0
571,Deion Burks,391.0
572,Ke'Shawn Williams,391.0
573,Thayer Thomas,393.0
574,Nikko Remigio,393.0
575,Davis Mills,446.5
576,Geoff Swaim,394.0
577,Trenton Cannon,395.0
578,Jalen Brooks,395.0
579,Ray-Ray McCloud III,396.0
580,Daniel Bellinger,450.0
581,Devin Gray,402.0
582,Julius Chestnut,402.0
583,Jeremiah Hall,403.0
584,Ronnie Rivers,403.0
585,Tahj Brooks,403.0
586,Charlie Kolar,404.0
587,Brady Russell,405.0
588,Jake Browning,406.0
589,Carlos Washington Jr.,406.0
590,Colson Yankoff,406.0
591,Jalen Milroe,407.0
592,Marcus Burke,407.0
593,Jordan Watkins,408.0
594,Tanner Koziol,454.0
595,Salvon Ahmed,409.0
596,Derrick Johnson,410.0
597,Corey Kiner,410.0
598,Will Shipley,411.0
599,Beaux Collins,412.0
600,Dean Connors,412.0
601,Colton Dowell,413.0
602,Brady Cook,413.0
603,Jimmy Holiday,414.0
604,Will Kacmarek,457.0
605,Michael Carter,415.0
606,Jacob Harris,416.0
607,Jacoby Jones,416.0
608,Kendrick Law,417.0
609,Malik Benson,418.0
610,Haynes King,419.0
611,Keytaon Thompson,420.0
612,J. Michael Sturdivant,420.0
613,Justin Watson,421.0
614,Taysom Hill,422.0
